"","ABI1","ABL1","ABL2","ACSL3","AKAP9","AKT1","AKT2","ALDH2","APC","ARHGEF12","ARID1A","ARID2","ARNT","ASPSCR1","ASXL1","ATF1","ATIC","ATM","ATP1A1","ATRX","AXIN1","BAP1","BCL10","BCL11B","BCL2","BCL3","BCL6","BCL7A","BCL9","BCOR","BCR","BIRC3","BRAF","BRCA1","BRCA2","BRD3","BRD4","BTG1","C16orf75","C2orf44","CACNA1D","CALR","CAMTA1","CANT1","CARD11","CARS","CASP8","CBFA2T3","CBFB","CBL","CBLB","CBLC","CCNB1IP1","CCND1","CCND2","CCND3","CCNE1","CD74","CD79A","CDC73","CDH1","CDH11","CDK12","CDK6","CDKN2A","CDKN2C","CEBPA","CHCHD7","CHIC2","CHN1","CIC","CIITA","CLTC","CNOT3","COL1A1","COX6C","CREB1","CREB3L1","CREB3L2","CREBBP","CRTC3","CSF3R","CTNNB1","CYLD","DAXX","DDIT3","DDX10","DDX5","DDX6","DEK","DICER1","DNM2","DNMT3A","EBF1","EGFR","EIF4A2","ELF4","ELK4","ELL","ELN","EML4","EP300","EPS15","ERBB2","ERG","ETV1","ETV4","ETV5","ETV6","EWSR1","EZH2","EZR","FAM46C","FBXO11","FBXW7","FCGR2B","FGFR1","FGFR1OP","FGFR2","FGFR3","FIP1L1","FLI1","FNBP1","FOXA1","FOXP1","FSTL3","FUBP1","FUS","GAS7","GATA2","GATA3","GMPS","GNA11","GNAQ","GNAS","GOLGA5","GOPC","GPHN","H3F3A","H3F3B","HERPUD1","HEY1","HIP1","HLF","HMGA1","HNRNPA2B1","HOOK3","HOXC11","HOXC13","HRAS","IDH1","IDH2","IKZF1","IL21R","IL6ST","IL7R","IRF4","ITK","JAK1","JAK2","JAK3","JAZF1","JUN","KDM5A","KDM5C","KDM6A","KDR","KIAA1549","KIF5B","KIT","KLF4","KRAS","KTN1","LASP1","LCK","LCP1","LHFP","LIFR","LMO2","LPP","LRIG3","MAF","MAFB","MALAT1","MALT1","MAML2","MAP2K1","MAP2K2","MAP2K4","MAX","MDM2","MDM4","MED12","MEN1","MET","MITF","MKL1","MLF1","MLH1","MLL","MLL2","MLL3","MLLT1","MLLT10","MLLT3","MLLT4","MLLT6","MN1","MSH2","MSH6","MSI2","MSN","MUC1","MYB","MYC","MYCL1","MYD88","MYH11","MYH9","MYST4","NACA","NCOA1","NCOA2","NCOA4","NDRG1","NF1","NF2","NFE2L2","NFIB","NFKB2","NIN","NONO","NOTCH1","NOTCH2","NPM1","NR4A3","NRAS","NSD1","NT5C2","NUMA1","NUP214","NUP98","OMD","P2RY8","PAFAH1B2","PBRM1","PBX1","PCM1","PCSK7","PDE4DIP","PDGFB","PDGFRA","PDGFRB","PER1","PHF6","PICALM","PIK3CA","PIK3R1","PIM1","PML","POT1","POU2AF1","PPARG","PPP2R1A","PRCC","PRDM1","PRKAR1A","PTEN","PTPN11","PTPRC","RAC1","RAD21","RAD51L1","RAF1","RALGDS","RANBP17","RAP1GDS1","RARA","RB1","RBM15","REL","RET","RNF43","RPL10","RPL22","RPL5","RPN1","RUNX1","SDC4","SEPT6","SET","SETBP1","SETD2","SF3B1","SFPQ","SFRS3","SH2B3","SH3GL1","SLC34A2","SLC45A3","SMARCA4","SMARCB1","SMO","SRGAP3","SS18","SS18L1","STAG2","STAT3","STAT5B","STK11","SUFU","SUZ12","SYK","TAF15","TCEA1","TCF12","TCF3","TCF7L2","TET2","TFE3","TFEB","TFG","TFPT","TFRC","THRAP3","TMPRSS2","TNFAIP3","TNFRSF14","TOP1","TP53","TPM3","TPM4","TPR","TRAF7","TRIM27","TRIM33","TRIP11","TRRAP","TSC1","TSC2","TTL","U2AF1","VHL","VTI1A","WHSC1","WHSC1L1","WWTR1","XPO1","YWHAE","ZNF331","ZNF384","ZNF521","ZRSR2"
"Basal-like",9,7,7,12,8,10,9,11,6,10,10,6,7,5,7,5,9,7,16,8,6,7,5,3,6,9,9,6,7,6,7,10,4,4,4,7,10,11,5,4,1,21,6,10,4,7,5,3,8,7,6,4,8,12,5,9,4,23,3,8,20,7,7,7,2,5,4,5,4,4,8,6,18,6,24,8,7,4,10,9,8,6,15,9,8,4,6,16,10,11,8,9,7,3,15,14,7,6,5,2,8,10,8,8,4,2,3,5,11,9,5,12,4,8,5,7,8,4,7,1,6,6,9,9,6,6,9,11,7,4,7,9,6,8,20,8,9,4,11,15,10,4,8,3,10,16,8,1,2,5,8,11,6,5,8,7,4,3,12,8,5,4,11,10,9,6,6,4,14,6,5,7,10,10,4,16,4,8,4,6,5,5,7,8,7,6,10,10,6,8,8,6,7,7,6,5,7,7,6,8,7,8,8,7,2,11,9,2,7,9,7,17,10,5,12,5,8,3,19,5,12,7,6,11,15,8,7,9,10,10,8,12,8,12,15,4,10,9,8,10,7,9,2,3,6,7,10,10,6,10,5,7,8,5,7,12,6,8,9,9,6,3,3,10,10,6,13,9,12,10,13,14,2,9,8,4,7,5,8,4,4,5,5,14,12,15,14,10,13,6,12,4,8,12,11,11,8,8,9,4,11,7,7,4,10,5,10,13,6,7,6,8,7,7,8,7,9,6,7,8,5,12,4,13,11,5,12,8,10,9,14,14,10,10,9,8,7,11,5,7,6,9,7,6,8,8,7,11,13,5,8,8,3
"Basal-like",8,8,8,12,10,9,9,5,6,11,9,6,9,5,9,5,9,8,18,9,8,7,8,1,5,6,7,7,9,7,9,5,5,6,5,6,9,11,5,5,2,18,5,8,1,7,6,2,8,7,5,5,7,10,4,9,6,13,2,8,11,7,8,8,6,7,4,5,4,4,7,2,14,8,22,9,8,4,10,8,7,3,14,7,9,4,8,17,12,11,8,9,6,4,6,10,4,4,6,13,9,8,11,13,4,4,8,6,11,11,8,12,4,9,5,4,16,5,4,2,7,4,6,1,7,3,10,12,4,2,10,9,4,8,23,8,9,5,12,16,7,3,4,2,11,16,8,4,6,6,10,9,3,1,5,2,1,2,13,4,3,5,12,9,12,7,6,7,12,5,3,11,11,9,2,12,5,5,4,4,5,5,6,9,7,5,6,7,7,8,9,8,9,9,5,3,6,6,6,10,8,8,8,8,3,11,9,3,9,11,4,13,4,6,9,2,8,3,14,6,15,9,5,13,9,8,7,10,12,7,7,15,6,18,15,2,11,8,9,12,8,11,3,2,7,8,11,13,6,11,5,7,9,6,9,12,5,9,6,7,8,4,3,13,10,4,12,7,11,4,13,13,3,11,7,4,7,7,6,5,4,1,4,17,13,24,12,9,11,8,14,4,8,15,13,13,6,9,3,4,12,7,10,3,11,7,10,12,8,6,5,7,6,8,10,7,10,5,6,8,4,10,4,9,9,2,8,5,11,5,15,18,12,9,9,9,7,10,6,8,10,8,8,5,10,8,5,13,14,7,10,7,6
"Basal-like",9,9,8,11,10,8,9,8,6,10,9,7,9,4,9,5,8,7,14,9,7,7,6,5,4,8,7,5,9,7,9,7,6,6,5,6,9,8,5,5,1,22,7,8,5,7,6,3,8,7,6,6,5,5,6,8,7,24,6,8,16,5,9,11,6,3,4,4,4,4,7,7,15,7,16,8,8,5,12,8,6,4,13,9,8,3,7,15,10,11,8,9,7,2,6,12,6,5,5,3,11,10,9,11,3,3,5,4,12,10,7,13,8,9,7,6,5,6,9,2,7,5,9,3,6,2,10,11,5,1,7,10,5,7,21,7,7,3,10,16,10,2,8,3,9,15,8,1,1,4,9,11,6,4,6,5,6,5,12,5,6,5,8,11,10,7,5,7,14,8,5,8,11,11,5,13,4,7,4,7,5,5,6,7,7,6,7,8,6,6,7,6,9,7,3,4,7,9,5,8,8,11,8,8,6,11,9,2,9,11,5,17,9,5,10,6,9,2,20,7,13,9,9,11,12,10,7,11,10,9,8,14,6,14,14,3,10,10,11,10,8,10,2,4,6,9,12,10,6,11,4,5,6,5,9,10,7,7,6,9,7,6,3,11,10,6,11,5,8,9,11,13,3,9,8,4,8,4,5,5,5,4,5,14,13,17,14,8,9,8,12,4,8,13,12,12,7,8,10,4,12,8,8,4,9,6,11,16,9,7,7,8,8,8,8,8,10,7,8,8,4,9,4,13,10,3,8,6,11,10,15,17,12,10,7,9,7,11,6,9,7,8,5,6,8,9,8,13,16,5,7,5,4
"Basal-like",9,10,8,9,9,9,8,10,7,9,11,6,9,4,9,5,9,8,14,9,7,8,5,5,7,8,7,6,8,7,8,8,5,6,5,8,9,10,5,4,1,18,6,7,5,7,7,4,8,8,6,5,5,13,8,8,8,28,6,8,13,8,8,8,6,5,5,5,5,5,7,8,14,7,26,8,8,6,9,10,7,6,14,10,9,4,6,14,10,11,8,9,6,5,6,11,9,5,5,9,9,9,9,8,5,3,4,5,9,10,7,12,6,8,6,6,8,5,3,4,7,6,12,2,7,5,9,11,8,4,9,10,6,7,16,7,7,4,11,14,9,3,9,2,10,15,8,2,3,4,10,10,8,6,8,6,6,6,12,7,8,5,9,8,11,7,7,5,12,10,6,7,10,11,6,14,6,7,5,6,5,7,9,9,7,6,7,7,6,8,8,7,9,7,6,4,7,5,6,9,9,10,7,7,4,11,11,3,8,10,4,17,12,4,11,7,10,5,17,9,14,8,7,13,13,8,7,10,11,8,8,13,11,12,14,4,8,10,9,12,9,11,4,5,6,9,10,8,6,10,5,9,9,4,7,11,7,9,8,10,6,6,4,11,9,6,10,9,9,11,12,14,3,9,10,3,7,6,7,5,4,6,3,14,11,15,13,10,9,9,14,5,10,14,11,12,8,7,8,5,10,7,7,4,9,6,10,13,8,6,6,7,8,8,7,8,8,6,7,9,5,10,4,10,11,7,9,7,10,10,15,15,13,10,8,8,7,11,7,8,8,8,7,5,9,9,7,12,14,5,7,5,5
"Luminal",9,9,7,10,11,10,9,11,7,11,10,8,9,6,9,5,9,7,14,9,7,8,5,4,8,7,9,6,8,9,8,6,4,6,4,7,9,10,4,5,8,16,5,11,5,7,6,3,6,7,6,4,5,20,6,8,2,26,3,7,12,8,9,5,3,5,6,6,4,4,9,6,16,7,22,18,7,4,9,10,8,7,14,8,8,5,6,16,10,9,8,10,6,4,6,10,7,5,6,8,8,10,9,13,6,4,3,6,9,11,5,13,6,8,5,4,8,4,6,8,6,6,8,12,9,5,8,11,8,4,14,7,5,8,16,8,7,5,10,16,8,4,9,5,9,14,6,2,2,6,8,9,6,3,14,4,3,5,13,6,5,5,15,9,10,7,8,5,12,8,7,8,12,14,5,11,8,7,6,6,5,6,9,10,6,6,7,7,7,9,10,8,7,6,7,5,7,5,6,9,11,9,8,7,5,10,12,4,6,8,7,15,12,8,10,5,9,11,20,8,15,8,8,11,10,10,7,9,9,7,8,12,8,11,13,5,8,9,7,13,9,10,4,5,5,8,13,10,6,9,7,9,12,6,6,10,6,12,7,9,6,3,5,11,9,6,13,8,10,9,11,14,3,9,9,4,7,10,8,4,5,9,7,14,12,14,12,11,11,8,12,7,9,13,11,11,8,7,5,5,10,7,5,5,9,6,9,14,8,6,7,8,8,9,8,8,7,5,7,8,6,8,5,10,11,4,8,7,9,8,14,16,12,9,8,8,7,9,7,9,6,7,7,5,9,7,6,11,13,6,8,6,5
"Luminal",8,10,9,10,12,9,8,7,7,13,11,8,9,4,8,6,8,9,16,10,7,8,5,3,9,7,7,5,9,8,8,6,4,5,4,7,8,11,4,4,8,14,5,8,3,6,6,4,7,8,6,4,6,11,7,7,2,18,3,8,11,9,9,6,2,4,4,5,4,5,9,5,14,6,30,8,8,7,9,10,8,5,15,8,8,4,6,16,11,9,9,8,6,5,6,12,6,5,5,11,7,10,8,12,6,4,4,6,9,10,5,14,7,8,5,4,9,5,6,4,6,6,7,11,10,5,9,11,8,4,13,7,6,10,15,7,7,5,11,14,8,4,9,8,6,15,8,3,3,4,7,9,5,2,12,5,3,3,11,6,4,5,12,9,9,8,8,6,13,8,6,8,13,12,4,10,8,8,5,7,5,6,6,10,7,6,6,6,8,7,8,8,8,6,7,4,7,5,7,10,10,11,7,7,5,9,11,4,7,8,6,12,14,8,10,5,8,10,20,8,15,9,7,11,10,10,7,10,12,6,9,12,6,13,13,6,8,10,7,14,8,10,5,4,6,9,13,12,6,9,7,9,12,8,7,11,6,12,6,7,6,3,4,11,8,5,13,9,10,7,11,12,3,9,8,2,6,8,8,4,5,6,6,14,13,17,10,12,12,7,12,9,9,13,11,12,7,7,6,3,9,7,5,4,9,5,10,14,9,6,6,7,6,8,8,9,8,7,7,7,5,8,4,9,11,4,6,6,10,8,15,17,12,9,7,8,7,9,7,8,6,7,7,5,8,8,7,10,14,6,7,6,5
"Luminal",7,10,8,9,11,13,10,10,6,12,11,8,8,4,8,6,8,8,17,9,7,9,6,3,10,7,8,6,8,8,7,8,4,4,3,8,8,9,3,4,7,20,6,9,3,7,5,5,7,7,5,5,5,15,7,7,3,17,3,7,13,11,7,6,2,6,6,5,4,4,8,4,15,6,37,12,7,10,9,10,8,4,15,7,10,4,7,14,12,9,10,9,6,5,5,13,6,4,6,7,6,9,8,11,5,6,3,5,8,10,5,12,7,8,4,4,8,5,6,3,6,5,8,14,9,7,7,11,8,5,13,7,7,9,23,9,7,5,12,13,9,5,7,3,9,16,8,3,2,6,7,10,4,3,15,3,3,2,12,8,4,5,11,9,10,7,7,6,11,3,7,9,12,12,3,10,8,6,5,7,5,7,8,7,6,5,8,9,7,8,9,7,7,7,6,6,6,4,6,10,10,10,9,5,6,9,10,5,6,7,4,13,21,10,9,5,8,7,20,8,15,8,6,11,9,8,7,9,6,7,8,13,7,15,14,2,8,9,7,15,8,10,6,3,6,9,12,10,7,9,6,11,14,6,7,11,7,10,5,9,6,2,5,12,9,6,11,10,11,7,13,13,2,9,9,3,7,8,7,4,4,6,4,17,15,19,14,16,11,7,15,6,9,12,11,12,7,9,1,5,10,8,5,4,8,5,10,12,8,7,6,7,5,9,8,9,8,6,6,8,5,9,6,12,12,6,7,7,10,6,15,16,11,10,8,8,8,9,7,8,7,7,8,5,7,7,6,10,14,6,8,6,5
"Luminal",8,9,7,10,9,10,10,9,7,11,11,8,8,6,9,5,9,6,17,9,8,9,6,3,6,7,8,6,9,8,8,4,4,5,4,6,7,11,4,4,8,16,6,9,4,9,6,4,6,6,6,6,5,18,6,7,3,22,2,8,12,10,8,5,4,5,6,5,4,6,9,6,17,7,30,12,8,6,10,10,8,5,14,7,8,9,6,16,10,7,8,10,6,4,4,13,6,4,6,8,8,9,8,14,4,4,4,6,8,10,5,14,5,8,5,4,9,5,6,3,7,5,7,13,8,8,8,12,7,3,19,8,7,7,22,7,7,4,10,16,10,3,9,3,9,15,8,2,5,7,8,13,5,3,12,3,3,3,12,5,4,5,13,9,10,7,6,5,12,6,6,7,11,12,4,10,6,5,4,5,6,5,8,12,5,4,7,9,8,8,8,7,8,7,4,6,6,5,7,8,11,10,9,7,4,11,9,4,7,9,6,12,11,9,7,5,9,7,19,8,16,9,9,11,11,9,6,10,8,8,8,13,7,13,14,3,7,10,9,20,7,11,4,3,5,9,13,10,6,11,6,8,11,6,6,14,6,9,5,9,6,2,4,13,9,4,13,9,11,7,12,14,2,9,8,3,6,9,8,4,4,3,5,16,13,15,13,13,11,6,11,5,9,13,11,11,7,9,4,4,11,7,4,3,8,6,10,13,6,8,7,6,6,8,8,9,10,6,6,9,5,9,5,12,11,6,6,8,11,6,16,15,11,10,7,7,7,10,6,9,7,7,7,6,9,7,5,11,16,6,8,5,4
"Basal-like",10,8,7,10,9,10,9,8,5,10,10,5,8,5,9,5,11,7,19,8,7,8,6,5,6,7,6,6,7,6,8,7,4,6,5,6,9,10,5,5,2,24,7,9,4,8,5,3,8,7,6,6,8,10,7,11,7,27,8,7,10,8,8,7,9,5,6,6,4,5,8,7,13,7,25,10,7,5,10,8,7,5,14,7,9,6,8,14,10,11,7,11,7,3,4,15,8,3,6,18,9,8,9,11,4,4,6,6,10,11,8,13,9,8,5,6,7,5,4,5,7,6,8,3,6,3,8,11,5,2,10,11,5,7,21,8,8,5,12,16,11,4,7,2,10,16,8,2,4,7,10,10,7,5,4,4,7,5,11,6,6,5,9,10,9,6,7,6,13,6,4,9,12,10,6,12,5,4,4,4,4,6,7,8,8,5,7,8,6,8,7,6,8,8,6,4,7,6,6,8,7,9,9,9,4,10,9,3,10,10,3,15,7,5,10,5,9,2,18,5,16,7,5,10,13,7,6,10,12,8,7,15,8,11,15,3,9,9,8,13,8,11,3,5,6,8,9,12,7,10,6,7,9,5,7,11,6,9,9,9,7,8,3,11,9,7,13,9,9,10,11,14,3,9,9,3,7,6,6,4,3,1,5,18,15,21,14,9,9,8,13,6,8,14,12,12,7,9,8,4,12,8,7,4,9,6,10,11,8,6,6,7,7,8,9,8,10,6,6,8,6,11,4,10,10,5,8,7,11,7,16,18,11,9,8,8,6,10,6,7,8,9,5,5,9,8,5,12,15,4,9,5,5
"Basal-like",9,10,9,10,10,9,8,9,7,12,11,6,8,3,8,5,10,9,16,10,5,8,6,5,6,8,9,5,7,6,7,7,5,6,6,7,9,11,4,6,1,17,6,7,3,7,6,3,8,9,6,5,7,15,6,7,5,21,3,8,11,9,8,11,7,5,5,5,5,4,7,5,16,7,27,8,9,5,11,6,7,5,16,8,7,4,7,14,11,13,10,8,6,4,7,13,8,5,5,5,9,9,10,8,5,3,2,5,8,9,6,10,4,8,5,6,7,6,3,1,7,6,9,2,7,4,7,9,7,2,10,10,5,9,15,8,8,5,13,13,8,3,7,2,9,16,9,2,2,4,10,8,7,4,8,6,4,5,12,6,7,6,8,8,9,7,8,3,14,11,5,10,13,10,4,13,5,6,4,5,4,7,8,9,7,6,7,7,7,8,8,7,8,7,4,5,6,5,7,11,8,10,8,7,3,11,9,3,9,9,3,17,6,4,11,6,10,4,16,5,14,8,6,12,10,9,6,12,10,7,7,14,8,14,14,4,10,9,8,10,10,11,3,4,7,10,9,10,6,10,5,11,9,4,8,13,7,9,7,9,7,3,4,11,9,6,11,8,10,10,14,13,3,10,10,3,9,6,7,5,4,2,3,16,14,19,14,9,8,7,16,4,9,14,12,13,8,7,11,4,10,6,5,3,9,5,11,12,7,6,6,8,8,8,8,8,8,6,7,7,4,10,3,12,11,4,8,5,9,6,15,17,14,8,8,9,9,10,8,6,9,8,8,5,8,13,7,14,14,6,6,4,3
"Luminal",8,9,7,10,10,11,9,7,6,11,10,6,9,5,8,6,10,6,20,8,8,9,6,1,7,9,8,6,10,7,8,5,4,6,4,7,9,13,7,5,8,16,5,10,3,7,6,5,7,6,7,6,5,13,5,7,3,23,1,8,18,8,8,4,3,4,5,5,3,3,9,4,16,7,30,9,7,9,8,11,8,4,17,7,9,5,6,16,10,9,7,9,6,3,3,11,6,4,5,2,7,9,8,13,3,5,6,5,8,10,6,16,5,7,4,5,8,5,6,2,7,4,7,14,9,5,10,11,5,5,15,9,6,5,19,9,6,6,13,15,9,3,8,1,10,15,6,4,5,5,10,13,3,2,10,3,1,1,14,4,3,4,9,8,10,7,5,5,11,3,4,9,16,13,1,10,5,4,3,6,4,6,7,8,5,3,7,8,6,7,8,7,7,7,3,5,7,7,8,8,8,8,9,6,6,9,10,4,7,8,5,11,23,12,8,5,9,4,18,8,17,7,5,11,12,8,7,9,3,7,6,14,7,13,15,1,9,8,6,13,8,10,3,3,6,9,11,8,6,11,7,6,11,5,6,10,6,9,5,8,7,1,2,13,10,5,11,8,9,4,12,12,4,10,8,3,7,11,7,4,3,3,3,16,14,17,13,11,11,6,12,6,10,13,12,12,6,8,1,6,10,8,4,3,9,5,9,14,8,7,6,7,5,9,8,8,8,5,6,8,4,12,4,13,12,4,4,5,10,9,17,15,12,13,8,8,8,8,6,10,6,8,7,5,8,6,5,11,14,4,7,4,4
"Luminal",8,10,8,11,10,10,9,9,8,12,11,7,8,5,8,5,9,7,14,9,6,8,5,2,11,8,7,5,7,8,8,5,4,5,4,8,8,10,3,4,6,17,6,11,3,8,5,4,7,6,6,5,5,15,6,8,2,17,3,8,17,10,9,5,3,5,5,6,4,7,9,4,17,7,30,22,7,5,10,9,8,4,15,8,8,4,5,15,10,8,8,9,6,5,6,13,5,4,6,8,7,11,8,13,5,6,3,5,8,11,5,12,6,8,5,4,10,4,5,5,7,5,7,12,8,6,9,11,8,6,14,8,6,8,18,7,6,6,9,16,9,4,9,5,7,16,8,5,5,6,8,11,4,2,10,4,2,3,13,5,4,4,15,9,11,7,7,6,12,8,7,8,13,14,3,9,7,7,4,7,6,6,8,15,5,6,7,8,6,7,8,7,8,7,6,5,7,5,6,9,10,10,8,7,4,7,11,4,7,8,7,12,11,8,12,3,7,9,22,7,16,8,8,12,15,8,6,9,8,7,8,14,7,14,14,5,7,9,8,18,8,10,3,3,6,9,15,11,5,10,8,8,13,9,6,10,6,10,6,8,6,3,5,13,8,6,13,9,10,6,12,14,3,9,9,3,11,8,7,4,4,7,6,16,14,15,13,11,11,5,13,6,9,13,12,11,6,8,6,3,11,8,5,5,9,6,10,12,9,7,7,7,6,9,9,9,8,6,7,8,5,10,4,9,11,4,8,6,9,7,14,15,12,9,8,7,7,10,6,9,7,7,7,5,9,9,6,11,13,6,7,7,5
"Luminal",8,9,8,10,12,10,9,10,8,12,11,8,8,5,8,6,8,7,14,10,7,8,5,1,10,7,6,6,10,9,7,5,4,6,5,8,8,8,5,5,5,14,4,11,3,6,6,7,8,6,6,4,4,18,5,7,2,16,1,9,18,10,9,4,3,3,5,5,3,4,9,4,16,7,30,16,7,9,7,11,8,4,15,9,9,4,6,15,10,8,10,9,6,4,3,8,6,5,5,5,7,9,8,14,4,5,2,4,7,10,5,14,6,7,5,3,8,5,8,6,7,4,6,14,10,4,9,11,6,3,14,7,6,8,20,9,8,5,13,16,9,4,10,1,8,17,7,4,4,4,9,8,3,2,11,2,1,2,11,6,2,5,12,10,9,7,7,7,12,3,5,9,14,15,2,12,5,6,4,7,4,6,6,9,4,4,7,7,8,7,10,8,8,6,4,5,6,5,7,8,11,11,8,6,4,9,10,3,7,8,6,12,19,11,7,4,8,6,18,13,15,8,8,14,7,10,5,9,5,7,8,13,7,15,15,3,8,10,7,16,9,10,4,3,6,9,17,12,6,11,6,6,11,6,7,9,6,9,6,7,7,1,3,13,9,5,14,8,10,5,12,12,3,8,8,3,7,10,8,4,5,6,5,14,11,13,11,11,12,5,12,5,10,14,12,11,6,8,1,3,11,7,4,5,8,5,10,14,8,7,6,8,7,9,7,9,8,5,6,7,3,8,4,9,12,1,5,6,11,9,16,17,13,10,8,8,8,9,6,9,6,7,6,5,9,8,5,10,14,5,7,5,4
"Luminal",8,8,8,10,10,9,9,8,7,10,10,7,8,5,9,5,8,10,11,9,6,8,5,6,8,5,7,6,7,7,8,10,4,6,5,7,10,13,4,5,6,17,5,9,7,6,7,5,7,8,6,4,6,8,9,7,3,28,10,8,11,9,9,7,2,5,7,6,4,5,8,8,15,7,24,9,8,5,10,10,7,6,12,10,8,5,6,14,10,10,8,10,7,4,4,13,7,5,6,6,9,10,9,11,4,4,5,5,8,11,6,12,11,8,6,6,8,5,5,5,7,7,9,11,9,3,8,11,8,2,13,7,4,6,17,7,7,4,10,13,12,3,6,3,8,16,7,4,4,4,7,9,9,7,12,7,8,7,11,7,9,5,8,9,10,7,8,5,10,8,5,7,11,13,7,16,5,5,5,6,4,8,9,10,6,5,7,9,7,8,8,8,8,7,4,5,7,5,6,10,10,10,8,6,5,9,12,5,7,8,6,14,5,8,10,5,8,5,18,8,14,8,8,12,12,10,6,9,7,9,9,12,7,13,13,4,8,9,8,12,8,9,4,7,5,9,11,10,7,10,5,9,9,6,7,10,7,9,7,8,6,10,4,10,8,10,12,8,10,14,11,15,3,8,9,2,7,7,7,4,4,7,5,14,12,14,12,9,11,10,12,6,9,14,11,10,7,8,2,3,11,7,5,5,8,5,9,13,9,6,7,8,9,10,9,8,8,6,7,7,5,8,4,9,11,4,10,8,10,9,14,17,12,8,7,8,7,10,7,8,6,7,7,6,9,8,5,10,14,6,7,4,5
"Luminal",8,9,7,10,10,9,10,7,7,12,10,7,7,5,8,5,8,9,14,9,7,8,5,5,8,7,6,5,7,8,8,7,4,5,5,7,9,11,4,4,7,18,5,9,6,7,6,4,6,8,5,5,4,10,7,8,3,25,6,7,12,9,11,6,3,4,5,5,4,4,8,7,15,7,28,14,7,9,9,10,8,6,13,8,8,4,6,14,11,9,8,10,6,4,5,11,6,5,6,10,8,10,8,19,5,5,3,5,8,11,5,12,7,7,5,4,9,4,4,2,6,7,8,11,9,4,8,10,7,6,13,8,5,7,16,6,7,4,10,14,9,4,8,5,9,15,8,3,4,5,8,11,8,5,11,6,5,6,11,6,7,5,9,9,11,8,7,4,11,12,4,7,11,12,6,13,6,6,5,6,5,6,7,10,6,5,8,6,6,7,8,7,7,6,5,5,7,4,6,10,10,10,7,6,5,9,11,5,6,8,6,13,11,6,9,4,8,9,20,7,14,8,8,11,9,8,8,9,12,7,8,12,8,12,13,3,7,9,7,14,8,10,4,6,6,8,12,9,7,10,5,8,11,5,6,10,6,10,6,10,6,6,3,12,7,6,12,8,10,11,11,15,3,8,8,3,7,14,8,4,4,7,5,14,12,14,11,11,7,8,12,6,9,13,11,11,7,7,4,5,11,7,4,4,8,5,9,12,8,5,6,7,8,9,8,9,7,5,7,7,5,8,4,11,10,7,7,6,10,8,13,14,11,10,7,8,7,9,6,9,6,7,7,5,8,8,6,11,12,6,7,5,5
"Basal-like",11,8,10,8,9,9,9,8,6,10,12,7,9,5,9,5,6,7,16,9,8,9,5,2,7,7,7,6,9,7,9,7,5,6,4,6,9,9,4,4,5,21,5,7,2,8,4,3,7,9,6,5,5,11,4,7,6,13,1,9,13,7,8,11,6,6,5,6,4,3,8,3,15,8,23,9,7,5,11,11,7,3,14,6,9,5,7,14,11,14,7,10,5,3,6,10,7,6,5,8,9,10,7,10,4,3,5,6,13,11,8,12,3,8,5,3,6,5,5,1,6,3,8,2,5,5,9,12,5,2,6,10,7,6,17,7,9,4,13,13,6,5,7,3,13,17,9,3,4,5,8,9,4,2,7,4,2,2,11,5,3,5,8,9,10,6,6,6,16,4,4,8,11,10,3,12,4,4,3,6,7,5,7,8,8,7,7,8,5,6,9,7,8,7,7,5,6,6,6,10,11,10,9,8,5,11,10,2,9,11,4,15,8,5,10,4,8,6,24,5,14,6,8,9,13,8,7,7,12,8,7,14,7,17,16,2,7,10,7,13,7,11,3,2,7,10,12,12,7,13,5,7,8,5,8,11,6,11,8,7,6,2,2,12,9,4,11,5,12,5,12,16,2,10,7,5,7,5,4,4,5,2,4,12,10,14,14,12,11,7,12,5,10,12,13,12,7,9,8,5,12,8,7,3,10,5,9,12,6,6,6,8,4,8,9,8,11,6,5,7,5,10,5,12,10,3,9,4,11,5,17,18,14,9,8,7,6,10,5,9,7,8,7,5,9,8,7,12,13,4,7,8,4
